performance_name,performance_date,performance_casts,performance_genre,performance_venue
2019 VIXX LIVE FANTASIA „ÄåPARALLEL„Ä?,2019.09.28 ~ 2019.09.29,VIXX,Concert,Jamsil Indoor Stadium
2019 Yeon Woo Jin 10th Anniversary Fanmeeting,2019.09.28,Yeon Woo Jin,Fanmeeting,Sungshin Women's University Mia WoonJung Green Campus Auditorium
Marie Antoinette,2019.08.24 ~ 2019.11.17,"Hwang Min-hyun(NU'EST), LEO(VIXX) etc",Musical,D-CUBE Art Center
2019 H.O.T „ÄåHigh-five Of Teenagers„Ä?IN Seoul,2019.09.20 ~ 2019.09.22,H.O.T,Concert,Gocheok Sky Dome
"The 11th Anniversary Fan Meeting with IU ‚Äò‚ñ∂ ll & U ‚Ä?(PLAY, PAUSE AND U)‚Ä?",2019.09.21,IU,Fanmeeting,"Grand Peace Palace, Kyung Hee University"
2019 Kim Dong Han Fanmeeting „ÄåD-STORY„Ä?,2019.09.21,Kim Dong Han,Fanmeeting,Universal Arts Center
Masterpiece of You with Real Slow(Wheesung),2019.09.21,Real Slow(Wheesung) etc,Concert,Gangdong Arts Center
2019 Ryu Jun Yeol BIRTHDAY Fanmeeting,2019.09.21,Ryu Jun Yeol,Fanmeeting,"SK Olympic Handball Gymnasium, Olympic Park"
BLACKPINK 2019 PRIVATE STAGE [Chapter 1],2019.09.21,BLACKPINK,Concert,"Olympic Hall, Olympic Park"
Marie Antoinette,2019.08.24 ~ 2019.11.17,"Hwang Min-hyun(NU'EST), LEO(VIXX) etc",Musical,D-CUBE Art Center
Marie Antoinette,2019.08.24 ~ 2019.11.17,"Hwang Min-hyun(NU'EST), LEO(VIXX) etc",Musical,D-CUBE Art Center
2019 SEVENTEEN WORLD TOUR „ÄåODE TO YOU„Ä?IN SEOUL,2019.08.30 ~ 2019.09.01,Seventeen,Concert,"KSPO DOME, Olympic Park"
2019 Yim Siwan Fanmeeting ~ Close to You ~,2019.09.08,Yim Siwan,Fanmeeting,YES24 LIVEHALL
GWSN(Girls in the Park) Fanmeeting [OUR 1ST GROOING MOMENT],2019.09.08,GWSN(Girls in the Park),Concert,Kobaco Hall
